districtExcel,district
DMS - Bo,Bo
DMS - Bombali,Bombali
DMS - Bonthe,Bonthe
DMS - Kailahun,Kailahun
DMS - Kambia,Kambia
DMS - Kenema,Kenema
DMS - Koinadugu,Koinadugu
DMS - Kono,Kono
DMS - Moyamba,Moyamba
DMS - Port Loko,Port Loko
DMS - Pujehun,Pujehun
DMS - Tonkolili,Tonkolili
DMS - Western Area,Western Area
DMS - Falaba,Falaba
DMS - Karene,Karene
Hosp - Bo,Bo
Hosp - Bombali Makeni,Bombali
Hosp - Bombali Kamakwie,Bombali
Hosp - Bonthe,Bonthe
Hosp - Bonthe Mattru,Bonthe
Hosp - Kailahun,Kailahun
Hosp - Kailahun Nixon,Kailahun
Hosp - Kambia,Kambia
Hosp - Kenema,Kenema
Hosp - Kenema Panguma,Kenema
Hosp - Koinadugu Kabala,Koinadugu
Hosp - Kono Koidu,Kono
Hosp - Moyamba,Moyamba
Hosp - Port Loko,Port Loko
Hosp - Port Loko Lungi,Port Loko
Hosp - Pujehun,Pujehun
Hosp - Tonkolili Magburaka,Tonkolili
Hosp - Tonkolili Masanga,Tonkolili
Hosp - 34 Military,Western Area
Hosp - Connaught,Western Area
Hosp - Emergency,Western Area
Hosp - Kingharman,Western Area
Hosp - Lumley,Western Area
Hosp - Macauley St,Western Area
Hosp - Ola During,Western Area
Hosp - PCMH,Western Area
Hosp - Rokupa,Western Area
Hosp - Lakka,Western Area
Hosp - Sierra Leone Psychiatric,Western Area
